,特急,普通,特急,普通,普通,特急,普通,普通,普通,特急,普通,普通,普通,普通,特急,普通,特急,普通,普通,特急,特急,普通,普通,特急,特急,普通,特急,普通,特急,特急,普通,特急,普通,特急,特急,普通,特急,普通,特急,普通,特急,普通,普通,特急,特急,特急,普通,普通,特急,普通,普通,特急,普通,特急,普通,特急,特急,普通,普通,特急,普通,普通,特急,普通,特急,普通,特急,特急,普通,普通,特急,普通,普通,特急,普通,普通,特急,普通,特急,普通,普通,特急,普通,普通,普通,普通,特急,普通,普通,特急,普通,普通,普通,普通,特急,普通
,ソニック 2号,,ソニック 4号,,,ソニック 6号,,,,ソニック 8号,,,,,ソニック 10号,,ソニック 12号,,,にちりん 102号,ソニック 14号,,,にちりん 2号,ソニック 16号,,ソニック 18号,,にちりん 4号,ソニック 20号,,ソニック 22号,,にちりん 6号,ソニック 24号,,ソニック 26号,,ソニック 28号,,ソニック 30号,,,ソニック 32号,にちりん 8号,ソニック 34号,,,ソニック 36号,,,ソニック 38号,,ソニック 40号,,にちりん 10号,ソニック 42号,,,ソニック 44号,,,ソニック 46号,,ソニック 48号,,にちりん 12号,ソニック 50号,,,ソニック 52号,,,ソニック 54号,,,ソニック 56号,,にちりんシーガイア 14号,,,ソニック 58号,,,,,にちりん 16号,,,ソニック 60号,,,,,ソニック 102号,
,博多,柳ケ浦,博多,日出,中津,博多,大分,亀川,大分,博多,杵築,亀川,中津,大分,博多,中山香,博多,亀川,亀川,大分,博多,中津,大分,大分,博多,中津,博多,大分,大分,博多,亀川,博多,日出,大分,博多,杵築,博多,中津,博多,亀川,博多,大分,日出,博多,大分,博多,杵築,大分,博多,日出,中山香,博多,中津,博多,亀川,大分,博多,柳ケ浦,杵築,博多,亀川,大神,博多,中山香,博多,亀川,大分,博多,中津,大分,博多,中山香,亀川,博多,中津,大神,博多,中山香,博多,亀川,大分,博多,小倉,大分,大分,亀川,小倉,中山香,大分,博多,大分,亀川,中津,日出,中津,中山香
,3002M,620M,3004M,622M,4620M,3006M,1620M,4622M,1622M,3008M,624M,626M,1624M_628M,1626M,3010M,4624M,3012M,4626M,4628M,5092M,3014M,4630M,1628M,5002M,3016M,4632M,3018M,1630M,5004M,3020M,4634M,3022M,4636M,5006M,3024M,4638M,3026M,4640M,3028M,630M,3030M,1632M,4642M,3032M,5008M,3034M,632M,1634M,3036M,634M,4644M,3038M,4646M,3040M,4648M,5010M,3042M,640M,4650M,3044M,642M,4652M,3046M,4654M,3048M,4656M,5012M,3050M,4658M,1636M,3052M,646M,4660M,3054M,648M,4662M,3056M,4664M,5014M,4666M,1640M,3058M,2574M,1642M,1644M,650M,5016M,652M,1646M,3060M,1648M,654M,656M,4668M,3092M,4670M
,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,土曜・休日運休,毎日運転,毎日運転,毎日運転,土曜・休日運休,毎日運転,土曜・休日運休,毎日運転,毎日運転,毎日運転,土曜・休日運休,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,平日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転
宮崎空港,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宮崎空港,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:43,,,,,,,,,,,,,,,,10:13,,,,,,,,,,,12:14,,,,,,,,,,,14:20,,,,,,,,,,,,16:15,,,,,,,,17:17,,,,,,,,,
南宮崎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:47,,,,,,,,,,,,,,,,10:18,,,,,,,,,,,12:19,,,,,,,,,,,14:27,,,,,,,,,,,,16:22,,,,,,,,17:21,,,,,,,,,
南宮崎,,,,,,,,,,,,,,,,,,,,,,,,05:47,,,,,06:50,,,,,,,,,,,,,,,,10:24,,,,,,,,,,,12:21,,,,,,,,,,,14:31,,,,,,,,,,,,16:32,,,,,,,,17:25,,,,,,,,,
宮崎,,,,,,,,,,,,,,,,,,,,,,,,05:50,,,,,06:54,,,,,,,,,,,,,,,,10:28,,,,,,,,,,,12:24,,,,,,,,,,,14:35,,,,,,,,,,,,16:36,,,,,,,,17:29,,,,,,,,,
宮崎,,,,,,,,,,,,,,,,,,,,,,,,05:54,,,,,06:58,,,,,08:10,,,,,,,,,,,10:29,,,,,,,,,,,12:25,,,,,,,,,,,14:36,,,,,,,,,,,,16:37,,,,,,,,17:30,,,,,,,,,
