,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,特急,普通,普通,普通,普通,普通,特急,普通,普通,普通,普通,普通,普通,特急,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通
,,,,,,,,,,,,,,,,九州横断特急 1号,,,,,,九州横断特急 3号,,,,,,,九州横断特急 5号,,,,,,,,,,
,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分
,4421D,4423D,4425D,5421D,4427D,4429D,5423D,4431D,4433D,4435D,4437D,5425D,5427D,4441D,4443D,1071D,5429D,4445D,5431D,4447D,5433D,1073D,4449D,4451D,5435D,4453D,5437D,4455D,1075D,5439D,4457D,4459D,5441D,4461D,5443D,4465D,4467D,4469D,4471D
,毎日運転,毎日運転,毎日運転,土曜・休日運休,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転
熊本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
熊本,,,,,,,,,,,,,,,,08:25,,,,,,11:49,,,,,,,15:23,,,,,,,,,,
新水前寺,,,,,,,,,,,,,,,,08:33,,,,,,11:55,,,,,,,15:31,,,,,,,,,,
新水前寺,,,,,,,,,,,,,,,,08:34,,,,,,11:56,,,,,,,15:32,,,,,,,,,,
肥後大津,,,,,,,,,,,,,,,,09:03,,,,,,12:26,,,,,,,15:58,,,,,,,,,,
肥後大津,,,,,,,,,,,,,,,,09:09,,,,,,12:28,,,,,,,16:03,,,,,,,,,,
立野,,,,,,,,,,,,,,,,09:23,,,,,,12:42,,,,,,,16:16,,,,,,,,,,
立野,,,,,,,,,,,,,,,,09:30,,,,,,12:46,,,,,,,16:21,,,,,,,,,,
阿蘇,,,,,,,,,,,,,,,,09:58,,,,,,13:14,,,,,,,16:45,,,,,,,,,,
阿蘇,,,,,,,,,,,,,,,,10:02,,,,,,13:17,,,,,,,16:48,,,,,,,,,,
宮地,,,,,,,,,,,,,,,,10:06,,,,,,13:21,,,,,,,16:52,,,,,,,,,,
宮地,,,,,,,,,,,,,,,,10:08,,,,,,13:23,,,,,,,16:54,,,,,,,,,,
波野,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
波野,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
滝水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
滝水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
豊後荻,,,,,,,,,,,,,,,,10:33,,,,,,13:51,,,,,,,17:17,,,,,,,,,,
豊後荻,,,,,06:28,,,,,,,,,,,10:33,,,,,,13:52,,,,,,,17:18,,,,,,,,,,
玉来,,,,,06:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
玉来,,,,,06:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
豊後竹田,,,,,06:43,,,,,,,,,,,10:46,,,,,,14:04,,,,,,,17:31,,,,,,,,,,
豊後竹田,05:15,05:35,,,06:48,,,07:24,08:02,,08:46,,,,,10:48,,12:18,,13:10,,14:06,14:19,15:08,,16:32,,,17:32,,18:08,,,18:54,,,20:47,,22:00
