,普通,普通,普通,普通,普通,特急,普通,普通,普通,普通,普通,特急,普通,普通,特急,普通,普通,普通,普通,普通,普通,普通,特急,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,特急,特急
,,,,,,ゆふ 2号,,,,,,ゆふ 4号,,,ゆふいんの森 4号,,,,,,,,ゆふ 6号,,,,,,,,,,,,,,,,ゆふいんの森 2号,ゆふいんの森 6号
,日田,由布院,庄内,由布院,豊後国分,博多,由布院,向之原,由布院,向之原,豊後森,博多,由布院,由布院,博多,由布院,由布院,向之原,由布院,由布院,向之原,由布院,博多,庄内,向之原,由布院,向之原,日田,庄内,向之原,由布院,由布院,庄内,久留米,久留米,日田,日田,日田,博多,博多
,1838D,4820D,4822D,4824D,4826D,82D,4828D,4830D,4832D,4834D,4836D,84D,4838D,4840D,8004D,4842D,4844D,4846D,4848D,4850D,4852D,4854D,86D,4856D,4858D,4860D,4862D,1884D,4864D,4866D,4868D,4870D,4872D,1832D_1836D,1844D_1848D,1868D,1874D,1880D,8002D,8006D
,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,１０月１４～１７・２１～２３日は運休,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大分 発,06:13,06:35,07:00,07:24,08:04,08:20,09:12,09:58,10:32,11:43,12:39,13:25,13:49,14:18,14:57,15:11,15:46,16:22,16:44,17:15,17:45,18:17,18:35,18:50,19:12,19:32,19:45,20:16,20:35,21:10,21:50,22:52,23:30,,,,,,,
古国府 着,06:18,06:40,07:05,07:28,08:08,,09:17,10:03,10:37,11:47,12:43,,13:54,14:23,,15:15,15:50,16:27,16:48,17:19,17:50,18:21,,18:54,19:17,19:36,19:50,20:20,20:40,21:14,21:54,22:56,23:34,,,,,,,
古国府 発,06:18,06:40,07:05,07:29,08:08,,09:17,10:03,10:37,11:48,12:44,,13:54,14:23,,15:16,15:51,16:28,16:49,17:20,17:51,18:22,,18:54,19:17,19:37,19:50,20:21,20:40,21:15,21:55,22:57,23:35,,,,,,,
南大分 着,06:21,06:43,07:08,07:32,08:11,,09:20,10:06,10:40,11:50,12:47,,13:57,14:26,,15:19,15:54,16:31,16:52,17:22,17:54,18:24,,18:57,19:21,19:39,19:53,20:24,20:43,21:18,21:58,23:00,23:38,,,,,,,
南大分 発,06:22,06:44,07:09,07:33,08:12,,09:21,10:07,10:44,11:51,12:47,,13:58,14:27,,15:23,15:54,16:32,16:56,17:23,17:55,18:25,,18:58,19:22,19:40,19:54,20:27,20:44,21:18,21:59,23:01,23:38,,,,,,,
賀来 着,06:25,06:47,07:11,07:36,08:15,,09:23,10:10,10:47,11:54,12:50,,14:00,14:30,,15:26,15:57,16:35,16:59,17:26,17:59,18:28,,19:01,19:25,19:43,19:57,20:30,20:47,21:21,22:02,23:03,23:41,,,,,,,
賀来 発,06:26,06:47,07:12,07:37,08:15,,09:24,10:10,10:47,11:54,12:50,,14:01,14:30,,15:26,15:57,16:36,16:59,17:27,17:59,18:28,,19:01,19:25,19:43,19:57,20:30,20:47,21:22,22:02,23:04,23:42,,,,,,,
豊後国分 着,06:29,06:50,07:15,07:40,08:19,,09:27,10:13,10:50,11:57,12:53,,14:04,14:33,,15:30,16:00,16:39,17:02,17:30,18:02,18:31,,19:04,19:28,19:46,20:00,20:34,20:50,21:25,22:05,23:07,23:45,,,,,,,
豊後国分 発,06:29,06:51,07:15,07:44,,,09:27,10:14,10:51,11:58,12:54,,14:04,14:34,,15:30,16:01,16:39,17:03,17:31,18:03,18:32,,19:05,19:29,19:47,20:01,20:36,20:51,21:28,22:06,23:07,23:46,,,,,,,
向之原 着,06:34,06:55,07:20,07:49,,08:34,09:32,10:18,10:55,12:02,12:59,13:40,14:09,14:39,,15:35,16:05,16:44,17:07,17:35,18:07,18:36,18:50,19:09,19:34,19:51,20:05,20:40,20:56,21:34,22:10,23:12,23:50,,,,,,,
向之原 発,06:35,06:56,07:20,07:59,,08:35,09:33,,10:56,,13:01,13:41,14:10,14:40,,15:36,16:06,,17:08,17:42,,18:37,18:51,19:09,,19:52,,20:41,21:01,,22:10,23:13,23:51,,,,,,,
鬼瀬 着,06:39,07:01,07:24,08:03,,,09:36,,11:00,,13:04,,14:13,14:44,,15:39,16:10,,17:12,17:46,,18:40,,19:13,,19:56,,20:45,21:04,,22:14,23:16,23:55,,,,,,,
鬼瀬 発,06:39,07:01,07:24,08:03,,,09:37,,11:01,,13:05,,14:14,14:44,,15:40,16:10,,17:12,17:46,,18:41,,19:14,,19:56,,20:45,21:05,,22:15,23:17,23:56,,,,,,,
小野屋 着,06:45,07:07,07:29,08:09,,,09:42,,11:06,,13:10,,14:19,14:50,,15:45,16:15,,17:17,17:51,,18:47,,19:19,,20:02,,20:50,21:10,,22:20,23:22,00:01,,,,,,,
小野屋 発,06:46,07:09,07:30,08:09,,,09:43,,11:07,,13:11,,14:19,14:50,,15:46,16:16,,17:18,17:52,,18:47,,19:20,,20:05,,20:51,21:15,,22:21,23:22,00:02,,,,,,,
天神山 着,06:49,07:12,07:33,08:12,,,09:45,,11:10,,13:13,,14:22,14:53,,15:49,16:18,,17:20,17:54,,18:50,,19:22,,20:08,,20:53,21:18,,22:23,23:25,00:05,,,,,,,
天神山 発,06:49,07:12,07:33,08:12,,,09:46,,11:10,,13:14,,14:23,14:54,,15:49,16:19,,17:21,17:55,,18:50,,19:23,,20:09,,20:54,21:18,,22:24,23:25,00:05,,,,,,,
庄内 着,06:54,07:18,07:38,08:17,,,09:50,,11:16,,13:18,,14:27,14:59,,15:54,16:23,,17:25,17:59,,18:55,,19:28,,20:13,,20:58,21:23,,22:29,23:30,00:11,,,,,,,
庄内 発,07:00,07:21,,08:17,,,09:51,,11:16,,13:19,,14:28,15:00,,15:54,16:24,,17:26,18:00,,18:55,,,,20:14,,20:59,,,22:29,23:30,,,,,,,,
湯平 着,07:08,07:28,,08:23,,08:54,09:57,,11:23,,13:25,14:00,14:34,15:07,,16:00,16:30,,17:32,18:06,,19:01,19:10,,,20:20,,21:05,,,22:35,23:37,,,,,,,,
湯平 発,07:15,07:28,,08:24,,08:54,09:58,,11:24,,13:25,14:01,14:34,15:08,,16:01,16:31,,17:33,18:06,,19:02,19:11,,,20:20,,21:05,,,22:36,23:37,,,,,,,,
南由布 着,07:25,07:38,,08:32,,,10:06,,11:34,,13:33,,14:42,15:18,,16:09,16:39,,17:41,18:14,,19:10,,,,20:28,,21:14,,,22:44,23:45,,,,,,,,
南由布 発,07:25,07:39,,08:32,,,10:10,,11:34,,13:34,,14:46,15:21,,16:09,16:40,,17:41,18:15,,19:10,,,,20:29,,21:14,,,22:44,23:46,,,,,,,,
由布院 着,07:30,07:43,,08:37,,09:06,10:14,,11:39,,13:38,14:12,14:51,15:26,15:44,16:14,16:44,,17:45,18:19,,19:15,19:23,,,20:33,,21:18,,,22:49,23:50,,,,,,,,
由布院 発,07:33,,,,,09:08,,,,,13:42,14:15,,,15:56,,,,,,,,19:26,,,,,21:24,,,,,,06:45,09:24,16:23,17:49,19:44,12:01,17:17
野矢 着,07:46,,,,,,,,,,13:53,,,,,,,,,,,,,,,,,21:37,,,,,,06:56,09:35,16:36,18:00,19:55,,
野矢 発,07:47,,,,,,,,,,13:56,,,,,,,,,,,,,,,,,21:37,,,,,,06:56,09:36,16:40,18:00,19:56,,
豊後中村 着,07:52,,,,,09:24,,,,,14:02,14:34,,,,,,,,,,,19:42,,,,,21:42,,,,,,07:01,09:41,16:46,18:06,20:01,,
豊後中村 発,07:53,,,,,09:24,,,,,14:02,14:34,,,,,,,,,,,19:43,,,,,21:45,,,,,,07:02,09:45,16:46,18:06,20:06,,
引治 着,07:56,,,,,,,,,,14:05,,,,,,,,,,,,,,,,,21:48,,,,,,07:05,09:49,16:49,18:09,20:09,,
引治 発,07:57,,,,,,,,,,14:06,,,,,,,,,,,,,,,,,21:49,,,,,,07:05,09:49,16:50,18:10,20:10,,
恵良 着,08:01,,,,,,,,,,14:09,,,,,,,,,,,,,,,,,21:53,,,,,,07:09,09:53,16:54,18:13,20:14,,
恵良 発,08:02,,,,,,,,,,14:10,,,,,,,,,,,,,,,,,21:53,,,,,,07:10,09:54,16:54,18:14,20:14,,
豊後森 着,08:06,,,,,09:34,,,,,14:14,14:44,,,16:23,,,,,,,,19:53,,,,,21:57,,,,,,07:14,09:58,16:59,18:18,20:19,12:32,17:44
豊後森 発,08:11,,,,,09:35,,,,,,14:44,,,16:24,,,,,,,,19:55,,,,,21:58,,,,,,07:15,09:59,16:59,18:19,20:21,12:32,17:44
北山田 着,08:17,,,,,,,,,,,,,,,,,,,,,,,,,,,22:03,,,,,,07:21,10:05,17:05,18:24,20:26,,
北山田 発,08:17,,,,,,,,,,,,,,,,,,,,,,,,,,,22:04,,,,,,07:21,10:05,17:05,18:25,20:27,,
杉河内 着,08:22,,,,,,,,,,,,,,,,,,,,,,,,,,,22:08,,,,,,07:26,10:10,17:10,18:29,20:31,,
杉河内 発,08:22,,,,,,,,,,,,,,,,,,,,,,,,,,,22:08,,,,,,07:26,10:10,17:10,18:30,20:32,,
天ケ瀬 着,08:27,,,,,09:47,,,,,,14:57,,,16:37,,,,,,,,20:07,,,,,22:12,,,,,,07:31,10:15,17:14,18:34,20:36,12:46,17:58
天ケ瀬 発,08:27,,,,,09:48,,,,,,14:57,,,16:38,,,,,,,,20:07,,,,,22:13,,,,,,07:34,10:15,17:15,18:34,20:36,12:47,17:59
豊後中川 着,08:32,,,,,,,,,,,,,,,,,,,,,,,,,,,22:17,,,,,,07:38,10:20,17:19,18:39,20:41,,
豊後中川 発,08:32,,,,,,,,,,,,,,,,,,,,,,,,,,,22:18,,,,,,07:39,10:20,17:20,18:39,20:41,,
豊後三芳 着,08:39,,,,,,,,,,,,,,,,,,,,,,,,,,,22:24,,,,,,07:45,10:26,17:26,18:45,20:47,,
豊後三芳 発,08:39,,,,,,,,,,,,,,,,,,,,,,,,,,,22:24,,,,,,07:46,10:27,17:27,18:46,20:48,,
日田 着,08:42,,,,,09:59,,,,,,15:09,,,16:50,,,,,,,,20:19,,,,,22:27,,,,,,07:49,10:30,17:30,18:49,20:51,12:59,18:11
日田 発,,,,,,10:00,,,,,,15:10,,,16:52,,,,,,,,20:20,,,,,,,,,,,7:57,0:42,,,,13:00,18:12
光岡 着,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:01,10:45,,,,,
光岡 発,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:01,10:45,,,,,
夜明 着,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:08,10:51,,,,,
夜明 発,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:08,10:52,,,,,
筑後大石 着,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:14,10:58,,,,,
筑後大石 発,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:15,10:58,,,,,
うきは 着,,,,,,10:16,,,,,,15:26,,,,,,,,,,,,,,,,,,,,,,08:18,11:02,,,,,
うきは 発,,,,,,10:19,,,,,,15:27,,,,,,,,,,,,,,,,,,,,,,08:21,11:02,,,,,
筑後吉井 着,,,,,,10:23,,,,,,15:30,,,,,,,,,,,20:39,,,,,,,,,,,08:25,11:06,,,,,
筑後吉井 発,,,,,,10:24,,,,,,15:33,,,,,,,,,,,20:42,,,,,,,,,,,08:26,11:12,,,,,
田主丸 着,,,,,,10:29,,,,,,15:38,,,,,,,,,,,,,,,,,,,,,,08:31,11:17,,,,,
田主丸 発,,,,,,10:29,,,,,,15:39,,,,,,,,,,,,,,,,,,,,,,08:31,11:18,,,,,
筑後草野 着,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:36,11:22,,,,,
筑後草野 発,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:41,11:23,,,,,
善導寺 着,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:45,11:26,,,,,
善導寺 発,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:45,11:26,,,,,
御井 着,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:50,11:31,,,,,
御井 発,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:50,11:31,,,,,
