,普通,普通,普通,普通,普通,普通,普通,普通,普通,特急,普通,普通,普通,普通,特急,普通,特急,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,特急,普通,普通,普通
,,,,,,,,,,ゆふ 1号,,,,,ゆふいんの森 3号,,ゆふ 3号,,,,,,,,,,,,,ゆふ 5号,,,
,大分,大分,大分,大分,大分,大分,大分,大分,大分,別府,大分,大分,大分,大分,別府,大分,別府,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分
,4821D,4823D,4827D,4829D,4831D,4833D,4835D,1821D_1823D,4837D,81D,4839D,4841D,4843D,4845D,8003D,1843D,83D,4847D,1849D,4849D,4851D,4853D,4855D,1857D,4857D,4859D,1865D,4861D,1873D,85D,4863D,4865D,4867D
,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,１０月１４～１７・２１～２３日は運休,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転
博多 着,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博多 発,,,,,,,,,,07:43,,,,,10:11,,12:14,,,,,,,,,,,,,18:30,,,
二日市 着,,,,,,,,,,07:59,,,,,,,12:25,,,,,,,,,,,,,18:44,,,
二日市 発,,,,,,,,,,08:00,,,,,,,12:26,,,,,,,,,,,,,18:44,,,
鳥栖 着,,,,,,,,,,08:13,,,,,10:36,,12:38,,,,,,,,,,,,,18:56,,,
鳥栖 発,,,,,,,,,,08:15,,,,,10:37,,12:39,,,,,,,,,,,,,18:58,,,
久留米 着,,,,,,,,,,08:23,,,,,10:45,,12:47,,,,,,,,,,,,,19:06,,,
久留米 発,,,,,,,,06:11,,08:25,,,,,10:48,,12:48,,,,,,,,,,,,,19:08,,,
久留米高校前 着,,,,,,,,06:15,,,,,,,,,,,,,,,,,,,,,,,,,
久留米高校前 発,,,,,,,,06:15,,,,,,,,,,,,,,,,,,,,,,,,,
南久留米 着,,,,,,,,06:17,,,,,,,,,,,,,,,,,,,,,,,,,
南久留米 発,,,,,,,,06:18,,,,,,,,,,,,,,,,,,,,,,,,,
久留米大学前 着,,,,,,,,06:20,,08:33,,,,,,,,,,,,,,,,,,,,,,,
久留米大学前 発,,,,,,,,06:21,,08:33,,,,,,,,,,,,,,,,,,,,,,,
御井 着,,,,,,,,06:23,,,,,,,,,,,,,,,,,,,,,,,,,
御井 発,,,,,,,,06:23,,,,,,,,,,,,,,,,,,,,,,,,,
善導寺 着,,,,,,,,06:28,,,,,,,,,,,,,,,,,,,,,,,,,
善導寺 発,,,,,,,,06:31,,,,,,,,,,,,,,,,,,,,,,,,,
筑後草野 着,,,,,,,,06:34,,,,,,,,,,,,,,,,,,,,,,,,,
筑後草野 発,,,,,,,,06:35,,,,,,,,,,,,,,,,,,,,,,,,,
田主丸 着,,,,,,,,06:39,,,,,,,,,13:08,,,,,,,,,,,,,19:24,,,
田主丸 発,,,,,,,,06:42,,,,,,,,,13:09,,,,,,,,,,,,,19:25,,,
筑後吉井 着,,,,,,,,06:48,,08:48,,,,,,,13:14,,,,,,,,,,,,,19:30,,,
筑後吉井 発,,,,,,,,06:48,,08:49,,,,,,,13:15,,,,,,,,,,,,,19:31,,,
うきは 着,,,,,,,,06:52,,,,,,,,,13:19,,,,,,,,,,,,,19:35,,,
うきは 発,,,,,,,,06:53,,,,,,,,,13:20,,,,,,,,,,,,,19:35,,,
筑後大石 着,,,,,,,,06:56,,,,,,,,,,,,,,,,,,,,,,,,,
筑後大石 発,,,,,,,,06:57,,,,,,,,,,,,,,,,,,,,,,,,,
夜明 着,,,,,,,,07:03,,,,,,,,,,,,,,,,,,,,,,,,,
夜明 発,,,,,,,,07:04,,,,,,,,,,,,,,,,,,,,,,,,,
光岡 着,,,,,,,,07:10,,,,,,,,,,,,,,,,,,,,,,,,,
光岡 発,,,,,,,,07:10,,,,,,,,,,,,,,,,,,,,,,,,,
日田 着,,,,,,,,07:14,,09:08,,,,,11:31,,13:36,,,,,,,,,,,,,19:51,,,
日田 発,,,,,,,,7:18,,09:09,,,,,11:32,12:29,13:39,,14:39,,,,,16:55,,,18:13,,19:19,19:52,,,
豊後三芳 着,,,,,,,,07:21,,,,,,,,12:31,,,14:42,,,,,16:57,,,18:16,,19:21,,,,
豊後三芳 発,,,,,,,,07:21,,,,,,,,12:32,,,14:42,,,,,16:58,,,18:16,,19:22,,,,
豊後中川 着,,,,,,,,07:28,,,,,,,,12:38,,,14:49,,,,,17:05,,,18:23,,19:28,,,,
豊後中川 発,,,,,,,,07:28,,,,,,,,12:39,,,14:49,,,,,17:05,,,18:23,,19:29,,,,
天ケ瀬 着,,,,,,,,07:33,,09:20,,,,,11:45,12:44,13:50,,14:54,,,,,17:11,,,18:29,,19:33,20:04,,,
天ケ瀬 発,,,,,,,,07:34,,09:21,,,,,11:45,12:47,13:51,,14:57,,,,,17:15,,,18:34,,19:34,20:07,,,
杉河内 着,,,,,,,,07:38,,,,,,,,12:51,,,15:02,,,,,17:20,,,18:39,,19:38,,,,
杉河内 発,,,,,,,,07:39,,,,,,,,12:52,,,15:02,,,,,17:20,,,18:39,,19:39,,,,
北山田 着,,,,,,,,07:44,,,,,,,,12:57,,,15:07,,,,,17:26,,,18:45,,19:44,,,,
北山田 発,,,,,,,,07:44,,,,,,,,12:57,,,15:08,,,,,17:26,,,18:45,,19:44,,,,
豊後森 着,,,,,,,,07:50,,09:34,,,,,12:00,13:03,14:04,,15:13,,,,,17:32,,,18:51,,19:50,20:20,,,
豊後森 発,,,,,,,,07:57,,09:35,,,,,12:00,13:03,14:05,,15:18,,,,,17:32,,,18:51,,19:53,20:21,,,21:32
恵良 着,,,,,,,,08:01,,,,,,,,13:07,,,15:23,,,,,17:37,,,18:56,,19:57,,,,21:37
恵良 発,,,,,,,,08:02,,,,,,,,13:08,,,15:26,,,,,17:40,,,18:56,,19:58,,,,21:37
引治 着,,,,,,,,08:06,,,,,,,,13:12,,,15:30,,,,,17:44,,,19:01,,20:02,,,,21:41
引治 発,,,,,,,,08:06,,,,,,,,13:12,,,15:30,,,,,17:45,,,19:01,,20:02,,,,21:41
豊後中村 着,,,,,,,,08:10,,09:45,,,,,,13:16,14:17,,15:34,,,,,17:48,,,19:05,,20:06,20:32,,,21:45
豊後中村 発,,,,,,,,08:10,,09:45,,,,,,13:16,14:17,,15:36,,,,,17:49,,,19:05,,20:06,20:32,,,21:45
野矢 着,,,,,,,,08:16,,,,,,,,13:22,,,15:42,,,,,17:57,,,19:13,,20:12,,,,21:51
野矢 発,,,,,,,,08:17,,,,,,,,13:23,,,15:42,,,,,18:00,,,19:13,,20:12,,,,21:52
由布院 着,,,,,,,,08:28,,10:02,,,,,12:27,13:34,14:39,,15:53,,,,,18:13,,,19:26,,20:23,20:49,,,22:04
由布院 発,05:36,06:20,06:42,07:03,,,07:59,08:39,09:32,10:05,,10:41,,12:09,12:32,13:46,14:42,15:17,16:01,,17:06,,17:50,18:20,,,19:55,,20:24,20:52,,,22:11
南由布 着,05:40,06:24,06:46,07:07,,,08:03,08:43,09:36,,,10:45,,12:14,,13:50,,15:21,16:05,,17:10,,17:55,18:24,,,19:59,,20:28,,,,22:15
