,普通,普通,普通,普通,普通,特急,普通,普通,普通,普通,普通,普通,特急,普通,普通,普通,普通,普通,特急,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通
,,,,,,九州横断特急 2号,,,,,,,九州横断特急 4号,,,,,,九州横断特急 6号,,,,,,,,,,,,,,,,,,,,,,,
,犬飼,豊後竹田,豊後竹田,三重町,中判田,熊本,三重町,犬飼,三重町,中判田,豊後竹田,中判田,熊本,豊後竹田,中判田,豊後竹田,中判田,豊後竹田,熊本,三重町,三重町,中判田,豊後竹田,中判田,三重町,中判田,豊後竹田,中判田,豊後竹田,三重町,豊後竹田,中判田,豊後竹田,三重町,豊後竹田,三重町,豊後竹田,三重町,宮地,豊後竹田,豊後竹田,豊後竹田
,5420D,4422D,4424D,4426D,5422D,1072D,4428D,5424D,4430D,5426D,4434D,5428D,1074D,4436D,5430D,4438D,5432D,4440D,1076D,4442D,4444D,5434D,4446D,5436D,4448D,5438D,4450D,5440D,4452D,4454D,4456D,5442D,4458D,4460D,4462D,4464D,4468D,4470D,2426D,4420D,4432D,4466D
,土曜・休日運休,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転
大分 着,,,,,,08:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大分 発,06:14,06:39,07:01,07:25,07:46,08:07,08:24,08:52,09:13,09:55,10:54,11:50,12:09,12:22,13:10,13:46,14:16,14:55,15:32,15:50,16:11,16:25,16:40,17:06,17:28,18:01,18:16,18:44,19:05,19:26,19:49,20:10,20:35,21:09,21:33,22:13,22:50,23:30,,,,
滝尾 着,06:20,06:45,07:07,07:30,07:52,,08:30,08:58,09:19,10:01,10:59,11:56,,12:28,13:17,13:53,14:22,15:01,,15:56,16:17,16:31,16:46,17:11,17:34,18:07,18:22,18:50,19:11,19:32,19:55,20:16,20:41,21:15,21:39,22:19,22:56,23:36,,,,
滝尾 発,06:20,06:46,07:08,07:33,07:53,,08:33,08:58,09:20,10:02,11:00,11:56,,12:31,13:22,13:53,14:23,15:02,,15:56,16:17,16:32,16:47,17:12,17:35,18:08,18:25,18:50,19:12,19:33,19:55,20:17,20:41,21:16,21:40,22:19,22:56,23:36,,,,
敷戸 着,06:24,06:49,07:11,07:36,07:56,,08:36,09:02,09:23,10:05,11:03,12:00,,12:35,13:26,13:56,14:26,15:05,,16:00,16:21,16:35,16:50,17:15,17:38,18:11,18:29,18:54,19:15,19:37,19:59,20:20,20:45,21:19,21:43,22:23,23:00,23:40,,,,
敷戸 発,06:25,06:50,07:12,07:36,07:57,,08:36,09:02,09:24,10:05,11:04,12:01,,12:35,13:27,13:57,14:27,15:06,,16:00,16:21,16:36,16:51,17:16,17:38,18:12,18:29,18:54,19:16,19:37,19:59,20:21,20:45,21:20,21:44,22:23,23:00,23:40,,,,
大分大学前 着,06:27,06:52,07:14,07:38,07:59,,08:38,09:04,09:26,10:08,11:06,12:03,,12:38,13:29,13:59,14:29,15:08,,16:02,16:23,16:38,16:53,17:18,17:40,18:14,18:31,18:56,19:18,19:40,20:01,20:23,20:48,21:22,21:46,22:26,23:03,23:42,,,,
大分大学前 発,06:27,06:52,07:15,07:39,07:59,,08:39,09:05,09:26,10:08,11:07,12:03,,12:38,13:30,13:59,14:29,15:09,,16:03,16:24,16:38,16:53,17:19,17:41,18:14,18:32,18:57,19:19,19:41,20:02,20:23,20:48,21:22,21:46,22:26,23:03,23:43,,,,
中判田 着,06:31,06:56,07:19,07:42,08:03,,08:42,09:08,09:30,10:12,11:10,12:07,,12:42,13:34,14:03,14:33,15:13,,16:07,16:27,16:42,16:57,17:22,17:44,18:18,18:35,19:01,19:22,19:45,20:06,20:27,20:52,21:26,21:50,22:30,23:07,23:46,,,,
中判田 発,06:35,06:57,07:24,07:44,,,08:43,09:14,09:33,,11:11,,,12:43,,14:04,,15:14,,16:07,16:28,,16:58,,17:45,,18:36,,19:23,19:45,20:06,,20:52,21:27,21:53,22:32,23:08,23:47,,,,
竹中 着,06:40,07:03,07:31,07:50,,,08:49,09:20,09:40,,11:17,,,12:49,,14:10,,15:20,,16:14,16:34,,17:04,,17:51,,18:42,,19:30,19:52,20:13,,20:59,21:33,21:59,22:39,23:14,23:53,,,,
竹中 発,06:50,07:04,07:36,07:53,,,08:49,09:21,09:40,,11:17,,,12:50,,14:11,,15:20,,16:14,16:34,,17:04,,17:51,,18:43,,19:30,19:52,20:13,,20:59,21:33,22:00,22:39,23:15,23:53,,,,
